nN,nO,AATS6dv,AATS0v,ATSC5d,GATS4Z,GATS5v,C1SP2,Xp-3dv,NtsC,SssssC,IC1,PEOE_VSA3,SMR_VSA4,n6ARing,GGI7,label
0,9,8.325581395348838,244.04862551707734,5.005948839976204,0.715089856036358,0.9725385271264492,0,3.3624748225197827,0,0.0,2.4634133308955675,0.0,0.0,0,0.611111111111111,inactive
3,5,3.588235294117647,215.29219731345123,-0.7361111111111103,0.9768925282912772,0.8862670427070526,1,7.52050005873749,0,-0.9233054871778479,3.7830828133113004,12.808212032003757,5.733667477162185,0,0.7708333333333334,inactive
3,6,3.763693270735524,220.46224622026338,-8.224981738495254,0.9552748649507468,0.932701721875104,1,9.575134212119824,0,-1.2218471538445144,3.8330663717717486,21.226009016332696,5.733667477162185,0,0.9895833333333334,inactive
3,4,3.801346801346802,219.3882810155855,-7.551279508034121,1.033617176040938,1.0419543577794312,1,7.474373894706001,0,-1.9510832649556256,3.768962002280873,21.589042127353395,5.733667477162185,0,0.7986111111111112,active
3,4,1.8786885245901639,186.75440297548607,-7.500594530321049,1.0474144472572748,1.0173391582632156,3,8.709978502747047,0,-0.18620357080107808,3.02719978828514,0.0,17.75371813848418,1,0.8524659863945578,inactive
3,3,1.9705882352941178,192.85401993871056,-5.222837370242217,0.9986375399066425,0.9954814308798537,2,7.954680777837641,0,-0.3566169322888728,3.3088949169282884,0.0,11.835812092322787,1,0.6180555555555556,inactive
3,3,1.9395017793594307,191.79859187956347,-10.543259297520667,1.046946780579023,0.9743107478976557,2,8.239183388080004,0,-0.35536693228887306,3.2515297373117455,0.0,11.835812092322787,1,0.6336805555555556,active
4,5,3.6800670016750416,218.2398421577672,-3.614004629629631,1.0598520391673565,0.9568224730437808,2,7.57401142977882,0,-1.589972153844514,3.825564063671878,12.808212032003757,5.733667477162185,0,0.920138888888889,inactive
3,6,4.233333333333333,218.12089034165103,-1.1775018261504742,1.0412892251902914,0.8701268581346439,2,7.897989257229243,0,-0.9692777094000697,3.766889544375762,17.60274921607558,0.0,0,0.8923611111111112,inactive
4,5,4.053264604810996,218.2398421577672,-5.165123456790123,1.0037616375662206,0.9377562056327752,2,7.541500975104331,0,-1.1498332649556255,3.80827083453526,12.808212032003757,5.733667477162185,0,0.8645833333333334,inactive
3,4,2.7335907335907335,202.25405565571566,-6.150351541373718,0.9812124439035527,0.9579015964362307,3,7.183354029885936,0,0.0,3.36173290168933,0.0,17.75371813848418,0,0.9375,inactive
3,5,3.2520729684908787,215.2921973134512,-5.986111111111111,0.9733705169394538,1.021052738648858,1,7.396339594446249,0,-1.0205277094000702,3.744820486892363,12.808212032003757,5.733667477162185,0,0.7708333333333334,active
3,6,4.365765765765766,220.49664077001393,-4.322951795278714,1.025518320397175,0.9253901506773485,2,7.428007192241461,0,-1.5387221538445144,3.8568740558501586,17.60274921607558,5.733667477162185,0,0.8645833333333334,inactive
3,6,4.278368794326241,220.49664077001393,-4.672683991271572,1.0197669301927745,0.9295653482728958,2,7.474914298081944,0,-1.6498332649556255,3.782999231936967,12.808212032003757,0.0,0,0.8645833333333334,inactive
4,3,3.236051502145923,200.21563430000913,-5.099200000000001,0.9208809973417398,1.0840405196342495,2,6.452257338362947,0,0.0,3.535618479790987,8.78083009534964,0.0,1,0.7690972222222221,active
3,4,2.602510460251046,195.47017113165464,-5.1914062500000036,0.9901144293734195,0.9374994163183142,3,6.185069895778628,0,0.0,3.3319991731701872,0.0,17.75371813848418,0,0.8402777777777778,inactive
4,6,2.975103734439834,198.5686057713639,-3.753718024985128,0.9800367743630157,0.9484068814313802,3,6.523141082205492,0,0.0,3.5549373477206636,0.0,17.75371813848418,0,0.8958333333333334,inactive
3,4,3.4130434782608696,215.30514938599643,-5.5903476012640025,1.059108634072766,1.0496055740322183,1,7.247632601694945,0,0.0,3.7208680542393715,17.198627079678577,0.0,1,0.7604166666666666,inactive
3,6,2.975510204081633,198.72183308687244,-5.551894324285089,0.9833846117433553,0.9475390605483225,3,6.783850214128108,0,0.0,3.5141431831189682,0.0,17.75371813848418,0,0.9175170068027211,inactive
4,5,1.728744939271255,178.07807125352332,-5.799999999999995,0.9119929188376869,1.0094422721267884,4,6.090278825193622,0,0.0,2.860941680659674,0.0,11.835812092322787,0,0.8125,inactive
4,4,3.135,213.13760749666773,-2.7828860949521452,0.9703771504649374,0.9144264920986397,1,7.630319829170472,0,-0.8608054871778479,3.7638279829448202,12.808212032003757,5.733667477162185,0,0.7708333333333334,inactive
4,1,4.064945226917057,243.99970901196644,3.3292561983471076,1.075513218063706,1.0060176027025753,1,5.4602053140561315,1,0.0,3.4866063922215966,4.9839785209472085,0.0,0,0.42796910430839,active
4,2,3.559238796807857,220.5472887272435,5.667296786389412,1.0240128393781591,0.9756766493607832,1,6.35652721162927,0,0.0,3.589819662212169,4.9839785209472085,0.0,0,0.5668579931972788,active
4,2,3.4557338086749847,218.10343489987486,7.322530864197532,1.0223362954016046,0.9558607027733468,1,6.579614391059336,0,0.0,3.5552097545386614,4.9839785209472085,0.0,0,0.5824829931972789,active
3,1,3.7391646966115046,236.74512342811244,1.2222222222222197,1.0529359704742474,1.006134251970822,1,5.23141179781903,0,0.0,3.33376235985515,4.9839785209472085,0.0,0,0.41234410430839,inactive
4,2,4.467889908256881,242.68778758408774,-10.521713265913144,1.015204938287985,0.9778914380454532,5,4.472998372780973,0,-1.20682634164777,3.639012498238158,4.992404732635669,10.726072209797854,0,0.4106079931972789,active
6,1,4.705357142857143,243.34373477206208,-10.879818594104306,1.056522739473886,0.9737245623190459,6,4.477429875118542,0,-1.2361187877928947,3.6345034866876267,4.992404732635669,10.726072209797854,0,0.4392715419501134,active
5,1,4.895652173913043,245.9926417357303,-9.20713899405084,1.06327285894127,0.9760017421123416,5,4.688583551758429,0,-1.3368368527966745,3.6400174219771273,9.976383253582878,10.726072209797854,0,0.5330215419501134,active
3,5,2.985185185185185,213.1563012957291,-5.031644444444444,0.9406408312592414,1.1035598943661244,1,7.5132407496414135,0,-0.7896249316222921,3.644984811829366,12.808212032003757,5.733667477162185,0,0.7864583333333334,inactive
3,1,3.7445987654320985,232.8056325566536,4.271160357032932,1.0255096418732783,0.9388335949886543,1,5.525178610477779,0,0.0,3.3370096549247648,4.9839785209472085,0.0,0,0.42796910430838997,inactive
4,1,3.762589928057554,231.91814592456782,2.7777777777777746,1.0786606170598914,1.006387555924248,2,4.978821332221476,0,0.0,3.203643108157115,4.9839785209472085,0.0,0,0.37152777777777773,inactive
4,1,3.689655172413793,228.23270650066405,2.4989227454601415,1.0640287041970447,0.9851146854306837,2,5.177044636924839,0,0.0,3.260170052148589,4.9839785209472085,0.0,0,0.3871527777777778,inactive
4,1,3.6490066225165565,224.9158110191507,5.3644444444444455,1.0432452069216058,0.94065289041278,2,5.457374722814749,0,0.0,3.2707329184926834,4.9839785209472085,0.0,0,0.38715277777777773,inactive
6,3,4.662857142857143,224.3563991287434,-2.0561224489795906,0.9747358502224416,0.8760123034491357,2,7.706409066981982,0,-0.8278193760667367,3.808089977219547,17.490014967148944,5.733667477162185,0,0.9809736394557823,inactive
5,3,4.386880856760374,245.47864378259248,-1.611394786347755,1.0604666981154014,1.0632817273980044,3,5.995298900782072,0,0.0,3.723483912129518,14.951935562841626,0.0,0,0.6033163265306123,active
6,2,4.300731869594145,242.45490986171612,-0.1909469302809571,1.0497720107129536,1.0354633908188722,3,6.112494760523727,0,0.0,3.7703681417804393,14.951935562841626,0.0,0,0.6033163265306123,active
4,1,4.304381846635367,255.20987793603004,0.7959533607681756,1.0767222271108965,1.0015214186050885,3,5.643997818582571,0,0.0,3.1606240348415513,4.9839785209472085,0.0,0,0.46442743764172334,active
4,1,4.334909377462568,255.20987793603004,0.9787379972565152,1.062258159263496,1.0005197263812196,3,5.6286610645080675,0,0.0,3.1606240348415513,4.9839785209472085,0.0,0,0.46442743764172334,active
3,1,4.19036519036519,254.41127057280363,0.8254545454545473,1.0684234202572576,0.9765243641161622,1,5.7374663388699085,0,0.0,2.8701360762169643,4.9839785209472085,0.0,0,0.46442743764172334,active
4,1,4.125382262996942,251.96550611585084,-10.521713265913144,0.8017310008843007,0.9705765790250473,5,5.156232633706272,0,-1.1728127362055933,3.639012498238158,4.992404732635669,10.726072209797854,0,0.4106079931972789,active
4,1,5.033613445378151,248.52114383741355,-10.892561983471076,0.9397549069202752,0.9767813883186348,3,4.814378321653449,0,-1.38526490457294,3.6108416113610575,13.77323482798531,10.726072209797854,0,0.5573270975056689,active
4,1,4.368505195843325,255.20987793603004,0.4022633744855961,1.0817603917257057,0.9726595814365925,3,5.618734414781732,0,0.0,3.097723274362436,9.967957041894417,0.0,0,0.46442743764172334,active
5,1,4.4836131095123894,256.03862142617066,1.146671413314347,1.048598089952249,1.0267806052382482,3,5.531146159372235,0,0.0,3.334324155733054,14.951935562841626,0.0,0,0.46442743764172334,active
5,1,4.519870235198702,256.03862142617066,1.146671413314347,1.0676847429660319,0.9900306248172633,5,5.5204631983168095,0,0.0,3.334324155733054,9.967957041894417,0.0,0,0.46442743764172334,active
4,2,4.137404580152672,236.3559369566522,-10.723958333333332,1.0570351799697204,0.9552133169833867,3,5.021561034466877,0,-1.225545634920635,3.5485332098491886,4.992404732635669,10.726072209797854,0,0.5139243197278911,active
4,2,5.396946564885496,245.47845328485332,-9.368489583333332,0.9147407220248801,0.9923245776201871,3,5.019437416740691,0,-6.211477230647123,3.6735332098491886,4.992404732635669,10.726072209797854,0,0.6076743197278911,active
3,4,4.14795008912656,226.33117949635118,-1.7855584209482254,1.0140083524304493,0.9758191756721823,1,7.831979036101667,0,-0.800041598288959,3.643209313111666,12.808212032003757,5.733667477162185,0,0.9809736394557822,active
6,3,4.609848484848485,224.35639912874336,-1.5969387755102038,0.9998219989353206,0.9371348115907668,3,7.6631521588104485,0,-0.862541598288959,3.8343907462101727,17.792190552950963,5.733667477162185,0,0.9809736394557822,inactive
3,4,2.96078431372549,220.57534258848298,-0.7361111111111103,0.9403944024555264,0.9487749351954766,1,8.497783942930203,0,-0.8191388205111814,3.810860591089078,12.808212032003757,5.733667477162185,0,0.7708333333333334,inactive
4,1,3.879432624113475,235.40175966683623,2.8776859504132246,1.078863190655813,0.9829197260699047,3,5.048444276838211,0,0.0,3.1577304005357654,4.9839785209472085,0.0,0,0.3871527777777778,active
